beta,replication,n_edges,spectral_gap,clustering,frustration,optimal_welfare,sa_mean_welfare,sa_std_welfare,sa_approx_ratio,sa_coincidence_rate,sa_mean_cooperation,sa_mean_logical_entropy,sqa_mean_welfare,sqa_std_welfare,sqa_approx_ratio,sqa_coincidence_rate,sqa_mean_cooperation,sqa_mean_logical_entropy,eq_welfare,eq_approx_ratio,eq_coincidence,eq_ground_state_overlap,eq_cooperation,eq_logical_entropy
0.25,15,20,0.4446216366073412,0.46875,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.25,16,20,0.47806924473851775,0.375,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.25,17,20,0.44147184295299025,0.42857142857142855,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.25,18,20,0.40740845915599044,0.421875,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.25,19,20,0.5363904002719221,0.28125,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.25,20,20,0.5299388386807048,0.375,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.25,21,20,0.3736942861841322,0.421875,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.25,22,20,0.43417466021760376,0.40298507462686567,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.25,23,20,0.414933784831371,0.5238095238095238,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.25,24,20,0.4298234979265173,0.39344262295081966,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
