p,replication,n_edges,spectral_gap,clustering,frustration,optimal_welfare,sa_mean_welfare,sa_std_welfare,sa_approx_ratio,sa_coincidence_rate,sa_mean_cooperation,sa_mean_logical_entropy,sqa_mean_welfare,sqa_std_welfare,sqa_approx_ratio,sqa_coincidence_rate,sqa_mean_cooperation,sqa_mean_logical_entropy,eq_welfare,eq_approx_ratio,eq_coincidence,eq_ground_state_overlap,eq_cooperation,eq_logical_entropy
0.4,20,16,0.37635007099775686,0.21428571428571427,1.0,48.0,48.0,0.0,1.0,1.0,1.0,0.0,48.0,0.0,1.0,1.0,1.0,0.0,48.0,1.0,true,1.0,1.0,0.0
0.4,21,15,0.4468669488583721,0.2857142857142857,1.0,45.0,45.0,0.0,1.0,1.0,1.0,0.0,45.0,0.0,1.0,1.0,1.0,0.0,45.0,1.0,true,1.0,1.0,0.0
0.4,22,19,0.477311990149331,0.3559322033898305,1.0,57.0,57.0,0.0,1.0,1.0,1.0,0.0,57.0,0.0,1.0,1.0,1.0,0.0,57.0,1.0,true,1.0,1.0,0.0
0.4,23,15,0.3365377518376607,0.23076923076923078,1.0,45.0,45.0,0.0,1.0,1.0,1.0,0.0,45.0,0.0,1.0,1.0,1.0,0.0,45.0,1.0,true,1.0,1.0,0.0
0.4,24,11,0.0,0.375,1.0,33.0,33.0,0.0,1.0,0.16,0.8880000000000001,0.1904,33.0,0.0,1.0,0.15,0.8740000000000002,0.21040000000000006,33.0,1.0,true,1.0,1.0,0.0
0.4,25,19,0.5236153677206519,0.36923076923076925,1.0,57.0,57.0,0.0,1.0,1.0,1.0,0.0,57.0,0.0,1.0,1.0,1.0,0.0,57.0,1.0,true,1.0,1.0,0.0
0.4,26,13,0.33708051853505316,0.23076923076923078,1.0,39.0,39.0,0.0,1.0,1.0,1.0,0.0,39.0,0.0,1.0,1.0,1.0,0.0,39.0,1.0,true,1.0,1.0,0.0
0.4,27,19,0.49203111856340664,0.3620689655172414,1.0,57.0,57.0,0.0,1.0,1.0,1.0,0.0,57.0,0.0,1.0,1.0,1.0,0.0,57.0,1.0,true,1.0,1.0,0.0
0.4,28,19,0.4148789174862753,0.5,1.0,57.0,57.0,0.0,1.0,1.0,1.0,0.0,57.0,0.0,1.0,1.0,1.0,0.0,57.0,1.0,true,1.0,1.0,0.0
0.4,29,18,0.3895216640238993,0.34615384615384615,1.0,54.0,54.0,0.0,1.0,1.0,1.0,0.0,54.0,0.0,1.0,1.0,1.0,0.0,54.0,1.0,true,1.0,1.0,0.0
0.4,30,21,0.4529758389620891,0.525,1.0,63.0,63.0,0.0,1.0,1.0,1.0,0.0,63.0,0.0,1.0,1.0,1.0,0.0,63.0,1.0,true,1.0,1.0,0.0
0.4,31,20,0.5392891594845826,0.4225352112676056,1.0,60.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,0.0,1.0,1.0,1.0,0.0,60.0,1.0,true,1.0,1.0,0.0
0.4,32,15,0.0,0.2857142857142857,1.0,45.0,45.0,0.0,1.0,0.42,0.9420000000000002,0.1044,45.0,0.0,1.0,0.41,0.9410000000000001,0.10620000000000002,45.0,1.0,true,1.0,1.0,0.0
0.4,33,15,0.2702114516255107,0.43902439024390244,1.0,45.0,45.0,0.0,1.0,1.0,1.0,0.0,45.0,0.0,1.0,1.0,1.0,0.0,45.0,1.0,true,1.0,1.0,0.0
0.4,34,17,0.39622207711773727,0.35294117647058826,1.0,51.0,51.0,0.0,1.0,1.0,1.0,0.0,51.0,0.0,1.0,1.0,1.0,0.0,51.0,1.0,true,1.0,1.0,0.0
0.4,35,17,0.40077879894878304,0.391304347826087,1.0,51.0,51.0,0.0,1.0,1.0,1.0,0.0,51.0,0.0,1.0,1.0,1.0,0.0,51.0,1.0,true,1.0,1.0,0.0
0.4,36,22,0.5231522027581667,0.49411764705882355,1.0,66.0,66.0,0.0,1.0,1.0,1.0,0.0,66.0,0.0,1.0,1.0,1.0,0.0,66.0,1.0,true,1.0,1.0,0.0
0.4,37,15,0.11642646044095814,0.4166666666666667,1.0,45.0,45.0,0.0,1.0,1.0,1.0,0.0,45.0,0.0,1.0,1.0,1.0,0.0,45.0,1.0,true,1.0,1.0,0.0
0.4,38,12,0.08361259551108566,0.2857142857142857,1.0,36.0,36.0,0.0,1.0,1.0,1.0,0.0,35.89,0.6497085593719789,0.9969444444444444,0.97,0.996,0.006800000000000001,36.0,1.0,true,1.0,1.0,0.0
0.4,39,17,0.0,0.40384615384615385,1.0,51.0,51.0,0.0,1.0,0.46,0.9460000000000001,0.0972,51.0,0.0,1.0,0.34,0.9340000000000002,0.11879999999999999,51.0,1.0,true,1.0,1.0,0.0
0.4,40,14,0.26914850836724924,0.20689655172413793,1.0,42.0,42.0,0.0,1.0,1.0,1.0,0.0,42.0,0.0,1.0,1.0,1.0,0.0,42.0,1.0,true,1.0,1.0,0.0
0.4,41,15,0.31310421615876577,0.23684210526315788,1.0,45.0,45.0,0.0,1.0,1.0,1.0,0.0,45.0,0.0,1.0,1.0,1.0,0.0,45.0,1.0,true,1.0,1.0,0.0
0.4,42,17,0.3429750387887759,0.3333333333333333,1.0,51.0,51.0,0.0,1.0,1.0,1.0,0.0,51.0,0.0,1.0,1.0,1.0,0.0,51.0,1.0,true,1.0,1.0,0.0
0.4,43,19,0.4848963290254464,0.2631578947368421,1.0,57.0,57.0,0.0,1.0,1.0,1.0,0.0,57.0,0.0,1.0,1.0,1.0,0.0,57.0,1.0,true,1.0,1.0,0.0
0.4,44,18,0.3565543193221408,0.38181818181818183,1.0,54.0,54.0,0.0,1.0,1.0,1.0,0.0,54.0,0.0,1.0,1.0,1.0,0.0,54.0,1.0,true,1.0,1.0,0.0
0.4,45,15,0.3875055579417231,0.09090909090909091,1.0,45.0,45.0,0.0,1.0,1.0,1.0,0.0,45.0,0.0,1.0,1.0,1.0,0.0,45.0,1.0,true,1.0,1.0,0.0
0.4,46,10,0.19038914068835408,0.0,0.0,30.0,30.0,0.0,1.0,1.0,1.0,0.0,29.74,0.9058730929915407,0.9913333333333333,0.92,0.991,0.0158,30.0,1.0,true,1.0,1.0,0.0
0.4,47,14,0.39377491366138073,0.18181818181818182,1.0,42.0,42.0,0.0,1.0,1.0,1.0,0.0,42.0,0.0,1.0,1.0,1.0,0.0,42.0,1.0,true,1.0,1.0,0.0
0.4,48,19,0.4935377497722246,0.25,1.0,57.0,57.0,0.0,1.0,1.0,1.0,0.0,57.0,0.0,1.0,1.0,1.0,0.0,57.0,1.0,true,1.0,1.0,0.0
0.4,49,16,0.325868130949129,0.42857142857142855,1.0,48.0,48.0,0.0,1.0,1.0,1.0,0.0,48.0,0.0,1.0,1.0,1.0,0.0,48.0,1.0,true,1.0,1.0,0.0
0.4,50,14,0.17734441774099008,0.375,1.0,42.0,42.0,0.0,1.0,1.0,1.0,0.0,42.0,0.0,1.0,1.0,1.0,0.0,42.0,1.0,true,1.0,1.0,0.0
0.6,1,27,0.6742791143818813,0.528,1.0,81.0,81.0,0.0,1.0,1.0,1.0,0.0,81.0,0.0,1.0,1.0,1.0,0.0,81.0,1.0,true,1.0,1.0,0.0
0.6,2,26,0.5867772032615874,0.5478260869565217,1.0,78.0,78.0,0.0,1.0,1.0,1.0,0.0,78.0,0.0,1.0,1.0,1.0,0.0,78.0,1.0,true,1.0,1.0,0.0
0.6,3,29,0.6148185795602628,0.7012987012987013,1.0,87.0,86.42,5.800000000000002,0.9933333333333334,0.99,0.99,0.0,87.0,0.0,1.0,1.0,1.0,0.0,87.0,1.0,true,1.0,1.0,0.0
0.6,4,34,0.6957104729024985,0.7647058823529411,1.0,102.0,101.32,6.8000000000000025,0.9933333333333333,0.99,0.99,0.0,102.0,0.0,1.0,1.0,1.0,0.0,102.0,1.0,true,1.0,1.0,0.0
0.6,5,27,0.7272395832763313,0.7071428571428572,1.0,81.0,80.46,5.4,0.9933333333333334,0.99,0.99,0.0,81.0,0.0,1.0,1.0,1.0,0.0,81.0,1.0,true,1.0,1.0,0.0
0.6,6,21,0.4051041307981312,0.5853658536585366,1.0,63.0,63.0,0.0,1.0,1.0,1.0,0.0,63.0,0.0,1.0,1.0,1.0,0.0,63.0,1.0,true,1.0,1.0,0.0
0.6,7,24,0.6045437551274229,0.51,1.0,72.0,72.0,0.0,1.0,1.0,1.0,0.0,72.0,0.0,1.0,1.0,1.0,0.0,72.0,1.0,true,1.0,1.0,0.0
0.6,8,28,0.6430448798902018,0.6214285714285714,1.0,84.0,84.0,0.0,1.0,1.0,1.0,0.0,84.0,0.0,1.0,1.0,1.0,0.0,84.0,1.0,true,1.0,1.0,0.0
0.6,9,31,0.7181688184415547,0.6666666666666666,1.0,93.0,93.0,0.0,1.0,1.0,1.0,0.0,93.0,0.0,1.0,1.0,1.0,0.0,93.0,1.0,true,1.0,1.0,0.0
0.6,10,29,0.6292839870175067,0.6442953020134228,1.0,87.0,87.0,0.0,1.0,1.0,1.0,0.0,87.0,0.0,1.0,1.0,1.0,0.0,87.0,1.0,true,1.0,1.0,0.0
0.6,11,25,0.6497117841172882,0.4722222222222222,1.0,75.0,75.0,0.0,1.0,1.0,1.0,0.0,75.0,0.0,1.0,1.0,1.0,0.0,75.0,1.0,true,1.0,1.0,0.0
0.6,12,28,0.6531794671307464,0.6214285714285714,1.0,84.0,83.44,5.6,0.9933333333333333,0.99,0.99,0.0,84.0,0.0,1.0,1.0,1.0,0.0,84.0,1.0,true,1.0,1.0,0.0
0.6,13,29,0.6945557341990424,0.5833333333333334,1.0,87.0,87.0,0.0,1.0,1.0,1.0,0.0,87.0,0.0,1.0,1.0,1.0,0.0,87.0,1.0,true,1.0,1.0,0.0
0.6,14,26,0.6568257480647655,0.5409836065573771,1.0,78.0,78.0,0.0,1.0,1.0,1.0,0.0,78.0,0.0,1.0,1.0,1.0,0.0,78.0,1.0,true,1.0,1.0,0.0
0.6,15,24,0.45896025926868333,0.5151515151515151,1.0,72.0,72.0,0.0,1.0,1.0,1.0,0.0,72.0,0.0,1.0,1.0,1.0,0.0,72.0,1.0,true,1.0,1.0,0.0
0.6,16,25,0.6050129634394859,0.49514563106796117,1.0,75.0,75.0,0.0,1.0,1.0,1.0,0.0,75.0,0.0,1.0,1.0,1.0,0.0,75.0,1.0,true,1.0,1.0,0.0
0.6,17,27,0.6641910616434595,0.5954198473282443,1.0,81.0,81.0,0.0,1.0,1.0,1.0,0.0,81.0,0.0,1.0,1.0,1.0,0.0,81.0,1.0,true,1.0,1.0,0.0
0.6,18,30,0.6804930747318112,0.660377358490566,1.0,90.0,90.0,0.0,1.0,1.0,1.0,0.0,90.0,0.0,1.0,1.0,1.0,0.0,90.0,1.0,true,1.0,1.0,0.0
0.6,19,28,0.7120583996210578,0.518796992481203,1.0,84.0,83.44,5.599999999999999,0.9933333333333333,0.99,0.99,0.0,84.0,0.0,1.0,1.0,1.0,0.0,84.0,1.0,true,1.0,1.0,0.0
0.6,20,25,0.6234842596063533,0.4326923076923077,1.0,75.0,75.0,0.0,1.0,1.0,1.0,0.0,75.0,0.0,1.0,1.0,1.0,0.0,75.0,1.0,true,1.0,1.0,0.0
0.6,21,23,0.5319203341186878,0.5816326530612245,1.0,69.0,69.0,0.0,1.0,1.0,1.0,0.0,69.0,0.0,1.0,1.0,1.0,0.0,69.0,1.0,true,1.0,1.0,0.0
0.6,22,26,0.6438385803922969,0.6,1.0,78.0,78.0,0.0,1.0,1.0,1.0,0.0,78.0,0.0,1.0,1.0,1.0,0.0,78.0,1.0,true,1.0,1.0,0.0
0.6,23,24,0.6220957669790245,0.5887850467289719,1.0,72.0,72.0,0.0,1.0,1.0,1.0,0.0,72.0,0.0,1.0,1.0,1.0,0.0,72.0,1.0,true,1.0,1.0,0.0
0.6,24,29,0.6861016118102705,0.7025316455696202,1.0,87.0,86.42,5.8,0.9933333333333334,0.99,0.99,0.0,87.0,0.0,1.0,1.0,1.0,0.0,87.0,1.0,true,1.0,1.0,0.0
0.6,25,32,0.7999188236868063,0.6666666666666666,1.0,96.0,96.0,0.0,1.0,1.0,1.0,0.0,96.0,0.0,1.0,1.0,1.0,0.0,96.0,1.0,true,1.0,1.0,0.0
0.6,26,26,0.6108818687373307,0.5798319327731093,1.0,78.0,78.0,0.0,1.0,1.0,1.0,0.0,78.0,0.0,1.0,1.0,1.0,0.0,78.0,1.0,true,1.0,1.0,0.0
0.6,27,29,0.6974025047719777,0.6,1.0,87.0,87.0,0.0,1.0,1.0,1.0,0.0,87.0,0.0,1.0,1.0,1.0,0.0,87.0,1.0,true,1.0,1.0,0.0
0.6,28,28,0.6446467602937218,0.6382978723404256,1.0,84.0,83.44,5.6,0.9933333333333333,0.99,0.99,0.0,84.0,0.0,1.0,1.0,1.0,0.0,84.0,1.0,true,1.0,1.0,0.0
0.6,29,27,0.6769324551737252,0.528,1.0,81.0,81.0,0.0,1.0,1.0,1.0,0.0,81.0,0.0,1.0,1.0,1.0,0.0,81.0,1.0,true,1.0,1.0,0.0
0.6,30,33,0.7258055012241725,0.7422680412371134,1.0,99.0,97.68,9.28654941299512,0.9866666666666666,0.98,0.98,0.0,99.0,0.0,1.0,1.0,1.0,0.0,99.0,1.0,true,1.0,1.0,0.0
0.6,31,30,0.7268917635082695,0.6951219512195121,1.0,90.0,89.4,6.000000000000002,0.9933333333333334,0.99,0.99,0.0,90.0,0.0,1.0,1.0,1.0,0.0,90.0,1.0,true,1.0,1.0,0.0
0.6,32,30,0.5636206516430515,0.7407407407407407,1.0,90.0,88.8,8.442317648177381,0.9866666666666666,0.98,0.98,0.0,90.0,0.0,1.0,1.0,1.0,0.0,90.0,1.0,true,1.0,1.0,0.0
0.6,33,30,0.765613539705164,0.6305732484076433,1.0,90.0,89.4,6.000000000000001,0.9933333333333334,0.99,0.99,0.0,90.0,0.0,1.0,1.0,1.0,0.0,90.0,1.0,true,1.0,1.0,0.0
0.6,34,26,0.5834994586677282,0.6048387096774194,1.0,78.0,78.0,0.0,1.0,1.0,1.0,0.0,78.0,0.0,1.0,1.0,1.0,0.0,78.0,1.0,true,1.0,1.0,0.0
0.6,35,24,0.560367475783038,0.4105263157894737,1.0,72.0,72.0,0.0,1.0,1.0,1.0,0.0,72.0,0.0,1.0,1.0,1.0,0.0,72.0,1.0,true,1.0,1.0,0.0
0.6,36,30,0.7766066247037812,0.6153846153846154,1.0,90.0,89.4,6.000000000000001,0.9933333333333333,0.99,0.99,0.0,90.0,0.0,1.0,1.0,1.0,0.0,90.0,1.0,true,1.0,1.0,0.0
0.6,37,22,0.5363891920959636,0.43902439024390244,1.0,66.0,66.0,0.0,1.0,1.0,1.0,0.0,66.0,0.0,1.0,1.0,1.0,0.0,66.0,1.0,true,1.0,1.0,0.0
0.6,38,24,0.5160305207320419,0.5454545454545454,1.0,72.0,72.0,0.0,1.0,1.0,1.0,0.0,72.0,0.0,1.0,1.0,1.0,0.0,72.0,1.0,true,1.0,1.0,0.0
0.6,39,28,0.7219088963526498,0.6503496503496503,1.0,84.0,84.0,0.0,1.0,1.0,1.0,0.0,84.0,0.0,1.0,1.0,1.0,0.0,84.0,1.0,true,1.0,1.0,0.0
0.6,40,22,0.42304580219706556,0.45,1.0,66.0,66.0,0.0,1.0,1.0,1.0,0.0,66.0,0.0,1.0,1.0,1.0,0.0,66.0,1.0,true,1.0,1.0,0.0
0.6,41,24,0.5957488058425238,0.5151515151515151,1.0,72.0,72.0,0.0,1.0,1.0,1.0,0.0,72.0,0.0,1.0,1.0,1.0,0.0,72.0,1.0,true,1.0,1.0,0.0
0.6,42,27,0.6185051413726949,0.609375,1.0,81.0,81.0,0.0,1.0,1.0,1.0,0.0,81.0,0.0,1.0,1.0,1.0,0.0,81.0,1.0,true,1.0,1.0,0.0
0.6,43,28,0.650080708540601,0.6131386861313869,1.0,84.0,84.0,0.0,1.0,1.0,1.0,0.0,84.0,0.0,1.0,1.0,1.0,0.0,84.0,1.0,true,1.0,1.0,0.0
0.6,44,29,0.6893465074102441,0.6862745098039216,1.0,87.0,85.84,8.160907059904803,0.9866666666666667,0.98,0.98,0.0,87.0,0.0,1.0,1.0,1.0,0.0,87.0,1.0,true,1.0,1.0,0.0
0.6,45,26,0.6822053728453629,0.5263157894736842,1.0,78.0,78.0,0.0,1.0,1.0,1.0,0.0,78.0,0.0,1.0,1.0,1.0,0.0,78.0,1.0,true,1.0,1.0,0.0
0.6,46,22,0.4843637280061889,0.46987951807228917,1.0,66.0,66.0,0.0,1.0,1.0,1.0,0.0,66.0,0.0,1.0,1.0,1.0,0.0,66.0,1.0,true,1.0,1.0,0.0
0.6,47,26,0.6483211403219327,0.5950413223140496,1.0,78.0,78.0,0.0,1.0,1.0,1.0,0.0,78.0,0.0,1.0,1.0,1.0,0.0,78.0,1.0,true,1.0,1.0,0.0
0.6,48,25,0.7307092481782151,0.4722222222222222,1.0,75.0,75.0,0.0,1.0,1.0,1.0,0.0,75.0,0.0,1.0,1.0,1.0,0.0,75.0,1.0,true,1.0,1.0,0.0
0.6,49,28,0.6652852117554375,0.6666666666666666,1.0,84.0,84.0,0.0,1.0,1.0,1.0,0.0,84.0,0.0,1.0,1.0,1.0,0.0,84.0,1.0,true,1.0,1.0,0.0
0.6,50,26,0.6305797272137006,0.5702479338842975,1.0,78.0,78.0,0.0,1.0,1.0,1.0,0.0,78.0,0.0,1.0,1.0,1.0,0.0,78.0,1.0,true,1.0,1.0,0.0
0.8,1,35,0.8411655836356773,0.7429906542056075,1.0,105.0,103.6,9.849370589540277,0.9866666666666666,0.98,0.98,0.0,105.0,0.0,1.0,1.0,1.0,0.0,105.0,1.0,true,1.0,1.0,0.0
0.8,2,38,0.8674327942128629,0.8267716535433071,1.0,114.0,113.24,7.6,0.9933333333333334,0.99,0.99,0.0,114.0,0.0,1.0,1.0,1.0,0.0,114.0,1.0,true,1.0,1.0,0.0
0.8,3,38,0.8807215472601674,0.8267716535433071,1.0,114.0,112.48,10.693602354358017,0.9866666666666667,0.98,0.98,0.0,114.0,0.0,1.0,1.0,1.0,0.0,114.0,1.0,true,1.0,1.0,0.0
0.8,4,40,0.8635295954595374,0.8947368421052632,1.0,120.0,119.2,8.000000000000002,0.9933333333333333,0.99,0.99,0.0,120.0,0.0,1.0,1.0,1.0,0.0,120.0,1.0,true,1.0,1.0,0.0
